depression,vote18,female,age,educ,hispanic,black,income,married,attend,unemployed
1,1,0,64,2,0,0,11,1,1,0
1.2,1,1,61,4,0,0,4,1,1,0
1.45,1,0,66,4,0,0,7,1,4,0
1.15,1,0,69,5,0,0,11,1,3,0
1.15,0,1,55,3,0,0,5,1,2,0
1.6,0,1,68,2,0,0,2,0,4,0
2.75,1,1,56,4,0,0,2,0,4,0
1.35,1,0,70,6,0,0,11,1,2,0
1.45,1,1,71,7,0,0,12,1,2,0
1.1,1,1,66,3,0,0,11,1,4,0
1.5,1,1,66,5,0,0,3,0,1,0
1.1,1,0,67,5,0,0,6,1,2,0
1.8,0,1,60,5,0,0,4,0,2,0
1.9,1,1,64,5,0,0,11,0,2,0
1.65,1,1,46,3,0,0,6,0,2,0
1.4,1,0,55,2,0,0,4,1,1,0
1.2,1,1,55,4,0,0,12,1,2,0
1.9,1,1,62,4,0,0,4,1,2,1
2.2,1,1,58,3,0,0,1,0,5,1
1.8,1,0,62,5,0,0,4,1,4,0
2.2,1,0,64,2,0,0,4,1,1,0
1.5,0,0,59,2,0,0,9,1,2,1
1.65,1,1,57,3,0,0,2,0,4,1
1.4,0,0,56,2,0,0,5,0,4,0
1.75,0,1,55,3,0,0,4,1,3,0
1.35,1,0,57,2,0,0,6,0,3,0
1,1,1,63,2,0,1,2,0,5,0
1.3,1,1,62,4,0,0,11,1,2,0
1.6,1,1,61,2,0,0,4,1,1,1
2,1,0,58,6,0,0,11,0,4,0
1.05,1,0,64,3,0,0,7,1,5,0
1.6,0,0,59,6,0,0,11,1,2,0
1.7,1,1,61,2,0,0,5,0,4,0
2.7,1,1,60,5,0,0,10,0,1,0
2.6,0,0,19,2,0,0,9,0,2,1
1,0,1,55,2,0,0,6,0,1,1
2.2,0,0,21,2,0,1,6,0,4,1
1.5,0,0,58,4,0,0,1,0,1,0
1.85,1,0,45,5,0,0,10,0,1,0
1.2,1,1,63,7,0,0,11,1,1,0
1.4,1,1,62,5,0,0,11,0,1,0
1.4,1,1,55,5,0,0,9,1,4,0
2.5,0,1,56,5,0,0,11,1,4,0
1.75,0,1,63,2,0,0,4,0,2,0
1.3,1,1,64,2,0,1,4,0,3,0
2.5,0,1,55,2,0,0,9,1,1,0
3.15,1,1,63,3,0,0,2,1,4,1
1.15,1,1,56,2,0,0,4,1,1,1
1.4,0,0,55,3,0,0,4,0,2,0
2.6,0,1,60,2,0,0,2,0,1,0
1.5,1,1,63,2,0,0,4,1,5,1
1.95,0,1,33,5,0,0,11,1,2,1
1.7,1,1,59,3,0,0,7,1,5,0
1.95,1,1,56,5,0,0,11,1,2,0
1.1,1,1,60,4,0,0,4,0,5,1
1.15,0,1,58,3,0,1,4,0,5,0
1.4,1,0,50,5,0,0,12,0,1,0
1.15,1,0,51,4,0,1,11,1,1,0
1.45,1,0,64,4,0,0,6,1,1,0
1.15,1,1,57,3,0,0,13,1,2,1
2.45,1,1,60,6,0,0,7,0,1,0
1.9,1,0,64,6,0,0,4,0,2,1
1.6,1,0,57,5,0,0,11,1,1,0
1.1,0,0,59,2,0,0,11,1,1,0
1.4,1,1,63,3,0,0,5,1,2,1
1.95,1,0,57,3,0,0,2,1,4,1
1.1,1,0,63,5,0,0,12,1,2,0
2.2,0,1,19,1,0,0,3,0,1,1
1.4,0,1,29,3,1,0,5,0,1,0
3.55,0,1,21,2,0,1,1,0,3,1
1.9,1,1,20,2,0,0,3,0,1,1
2.5,0,1,21,4,0,0,6,0,4,0
2.5,0,1,23,2,0,0,6,0,1,0
1.8,0,1,21,3,0,0,4,0,2,0
1.8,0,1,20,3,0,0,8,0,1,1
3.35,0,1,19,3,0,0,3,0,1,1
2.45,0,1,19,3,0,1,1,0,1,1
2.45,1,1,23,2,0,0,5,1,3,1
3.7,0,1,23,2,0,1,2,1,1,1
2.65,0,1,21,3,0,0,6,0,2,0
2.5,0,1,22,3,0,0,1,0,1,0
3.25,0,0,18,1,0,0,1,0,1,1
1.9,0,1,27,4,0,1,4,0,3,0
3.4,1,1,23,4,0,0,4,0,1,0
2.65,0,1,22,4,0,1,4,1,3,0
2.3,0,1,20,4,0,0,6,0,4,1
1.85,0,0,19,3,0,0,9,1,2,0
2.25,1,1,24,7,0,1,1,0,5,0
2.5,0,1,23,5,0,1,4,0,2,0
1.85,0,1,20,2,0,1,2,0,4,0
2.7,0,1,24,4,0,1,1,0,1,1
2.2,1,0,20,3,0,0,6,0,4,0
1.25,1,0,53,3,0,0,7,1,1,0
2.9,0,1,22,3,0,1,2,0,3,0
1.85,0,1,24,2,0,1,4,0,5,0
2.3,1,1,19,3,0,1,5,0,5,0
2.3,0,1,22,3,0,0,2,0,1,0
3.7,0,1,23,3,0,0,2,1,4,1
2.85,0,1,22,7,0,0,6,0,2,0
1.85,0,0,21,4,0,0,1,0,2,1
2.25,0,1,20,3,0,0,5,0,4,1
2.35,1,1,22,3,0,0,4,0,2,0
2.65,1,1,22,4,0,1,4,0,5,0
1.3,0,0,23,4,0,1,1,0,1,1
2.65,1,0,21,5,0,0,10,1,1,0
2.1,0,1,22,6,0,1,5,1,4,0
2.85,0,1,22,5,1,0,4,0,3,0
2.3,0,1,18,3,0,1,3,0,2,0
2.75,1,1,30,3,0,0,5,0,1,0
1.75,0,1,18,4,0,1,9,0,1,0
2.05,1,1,19,3,0,0,11,0,5,1
2.25,1,1,22,5,0,1,8,0,2,0
2.4,1,1,24,5,0,1,10,0,2,0
2.25,0,1,22,3,0,0,6,0,4,0
2.65,1,0,21,3,0,0,11,0,1,0
2.9,0,1,21,5,0,1,13,0,3,0
2.4,1,0,21,3,0,1,9,0,4,1
1.95,0,1,18,2,0,0,4,1,1,0
2.4,0,1,19,5,0,1,8,0,1,0
1.25,0,1,23,1,0,0,11,0,4,1
2.4,0,0,23,2,0,1,10,0,4,0
2.65,0,1,19,2,0,1,4,0,2,0
2.5,0,0,19,2,0,0,11,0,1,1
1.45,0,1,19,2,0,0,4,0,1,0
3.1,0,1,21,2,0,0,4,0,4,1
2.75,0,1,20,3,0,1,2,0,3,0
3.85,1,0,22,2,0,1,6,0,1,0
2.5,0,1,21,4,0,1,7,1,2,0
2.95,0,0,28,3,0,0,3,0,2,1
1.8,0,1,21,2,0,1,5,0,4,0
2.7,0,1,27,4,0,1,11,0,3,0
2.55,0,1,18,3,0,1,4,0,2,1
2.75,1,0,23,4,0,0,6,0,5,1
1.85,0,1,23,5,0,0,13,0,3,0
2.9,0,0,21,2,0,1,6,0,2,0
3,1,0,19,3,0,1,6,0,5,0
2.6,0,0,21,4,0,0,8,0,2,1
3.05,1,1,22,5,0,0,6,0,4,0
2.45,0,1,26,2,0,1,5,0,2,1
1.6,0,1,18,2,0,1,6,0,4,0
1.65,1,1,22,4,0,1,9,0,4,0
2.4,1,1,24,5,0,0,7,1,5,0
3.2,0,1,22,2,0,0,9,0,2,1
1.3,0,1,24,5,0,0,9,0,1,0
3.4,1,1,21,6,0,1,13,1,5,0
3.35,0,1,20,1,0,0,9,0,1,1
2.7,1,1,24,5,0,0,1,0,3,0
2.15,0,0,19,5,0,1,6,0,4,0
2.15,0,1,29,5,0,0,9,1,2,0
2.55,0,1,26,3,0,0,7,0,2,0
2.5,0,1,32,6,0,1,12,1,3,0
1.85,1,0,28,4,0,0,9,0,1,0
1.9,1,1,25,5,0,0,6,0,1,0
1.6,0,0,25,5,0,1,6,0,3,0
2.05,0,0,36,5,0,1,5,1,2,0
2.65,1,0,50,2,0,0,10,0,1,0
2.1,1,1,38,5,0,0,10,0,1,0
1,1,1,46,5,0,0,11,0,4,0
2.25,1,0,30,5,0,0,10,0,1,0
1.25,1,1,28,4,0,0,6,1,4,0
1.15,1,1,51,3,0,0,12,1,4,0
2.8,0,1,47,3,0,0,5,0,1,0
2.6,1,1,41,4,0,0,9,1,1,0
1.5,1,0,49,4,0,0,6,1,1,0
3.4,0,1,38,2,0,0,8,1,2,1
1.25,1,1,52,2,0,0,11,1,1,1
2.8,1,1,49,2,0,0,11,1,1,0
1.6,0,0,35,6,0,1,13,0,2,0
2.9,0,0,26,4,0,0,7,0,2,0
2.8,0,1,32,3,0,0,7,1,1,1
1.55,1,0,47,5,0,0,10,0,2,0
2.4,1,1,39,6,0,0,12,1,1,0
2,0,1,47,5,0,0,8,1,1,0
1.5,0,0,36,2,0,0,8,0,1,0
1.45,1,1,47,5,0,0,11,0,2,0
3.15,0,1,44,2,0,0,9,1,1,0
2.05,1,1,28,3,0,0,10,0,1,0
1.3,1,0,29,6,0,0,13,1,2,0
1.4,1,1,29,6,0,0,9,0,1,0
1.5,0,1,46,3,0,0,10,0,2,0
2.35,1,0,41,3,0,0,11,1,4,0
1.5,0,1,28,2,0,0,5,0,1,0
2.8,1,1,33,5,0,0,6,1,1,0
1.65,1,0,31,6,0,0,10,0,1,0
1,1,1,51,3,0,0,5,1,1,0
2.6,0,0,48,3,0,0,6,1,3,1
2.8,0,1,36,6,0,1,13,0,5,0
1.1,1,0,52,7,0,0,13,1,3,0
2,1,0,28,5,0,0,7,0,2,0
2.1,1,1,54,3,0,0,7,0,1,0
1.65,1,0,34,4,0,0,7,1,1,0
1.75,1,1,38,5,0,0,9,0,2,0
1.9,1,1,36,6,0,0,11,1,1,0
1.9,1,1,32,5,0,1,13,1,5,0
1.4,0,1,41,2,0,0,7,1,2,0
1.05,1,0,45,4,0,0,10,1,3,0
1.45,1,1,50,5,0,0,6,0,2,0
1.5,1,0,44,5,0,0,11,1,1,0
1.55,0,1,49,5,0,0,12,1,1,0
1.9,1,0,46,5,0,0,11,1,1,1
2.5,1,0,32,5,0,0,11,1,5,0
2.2,1,1,44,2,0,0,3,1,2,1
2.3,1,1,48,2,0,0,6,1,1,0
1.95,1,1,28,7,0,0,12,1,2,0
3.55,1,0,28,3,0,1,12,1,3,0
1.3,1,1,37,6,0,0,12,1,1,0
2.6,1,1,29,5,0,0,8,1,5,0
1.5,0,1,51,3,0,0,9,1,1,0
2.2,0,0,32,5,0,0,10,1,4,0
1.85,0,1,31,1,0,0,6,1,1,1
2.05,1,1,41,5,0,0,9,0,2,0
1.75,1,1,50,3,0,0,8,1,2,0
2.7,1,0,40,6,0,0,12,1,5,0
2.45,0,1,31,5,0,0,11,1,3,0
1.6,0,1,51,2,0,0,12,1,1,0
2.6,0,1,42,6,0,1,6,0,3,0
1.05,1,1,37,5,0,0,11,1,4,0
1.95,0,0,32,6,0,0,9,1,1,1
1.55,1,1,43,6,0,0,7,0,4,0
3,1,0,50,5,0,0,11,1,1,0
1,1,1,51,3,0,0,12,1,4,1
1.15,1,0,51,4,0,0,9,0,1,0
1.9,0,1,37,6,0,0,9,1,1,0
1.7,1,1,39,7,0,0,11,1,1,1
2.2,1,1,47,5,0,0,9,1,4,0
2.25,1,0,38,5,0,0,11,1,2,0
1.65,1,0,46,5,0,0,11,0,1,0
1.15,0,1,27,7,0,0,11,0,4,0
1.75,1,1,47,4,0,0,6,1,4,1
2.5,1,1,43,7,0,0,12,1,1,0
1.3,1,1,50,5,0,0,7,1,1,0
1.1,1,0,50,5,0,0,11,0,4,0
2.15,0,1,40,5,0,0,11,1,1,0
2.8,1,1,42,6,0,0,9,1,5,0
1.7,1,0,40,6,0,0,11,1,3,0
1.5,1,1,50,6,0,0,12,1,2,0
1.7,1,1,31,2,0,0,8,1,1,0
2.5,1,1,26,5,0,0,10,1,3,0
1.9,0,1,37,3,0,0,10,1,1,0
1.2,0,1,46,6,0,0,12,1,4,0
1.2,1,1,37,5,0,0,13,0,1,0
1.25,1,1,38,5,0,0,11,1,1,0
1.35,0,1,38,4,0,0,11,1,1,0
2.05,1,1,53,6,0,0,9,0,5,0
2.55,0,0,36,3,0,0,4,0,1,0
1.35,1,0,53,5,0,0,5,1,2,0
1.45,1,1,28,7,0,0,12,1,4,0
1.1,1,1,46,5,0,0,9,0,1,0
2.15,1,1,46,5,0,0,11,1,2,0
1.4,1,1,37,6,0,0,9,0,1,0
2.15,1,1,49,6,0,0,11,1,2,0
2.25,0,0,54,6,0,0,11,1,1,0
1.75,0,1,33,6,0,0,11,0,4,0
1.65,1,0,41,6,0,0,12,1,2,0
3.1,1,0,43,6,0,0,11,1,5,0
1.95,1,1,34,3,0,0,10,1,1,0
3,0,1,48,6,0,0,9,0,2,1
1.35,1,0,44,6,0,1,9,1,1,0
1.8,1,1,41,6,0,0,10,1,4,0
1.15,1,1,31,7,0,1,13,0,5,0
1.3,0,0,42,2,0,0,6,0,2,0
1.35,1,1,45,4,0,0,9,1,1,0
1.55,1,1,42,5,0,0,13,1,2,0
1.7,1,0,43,2,0,1,10,1,5,0
2.65,0,0,29,2,0,0,10,0,2,0
1.15,0,1,52,4,0,0,11,1,1,0
2.05,1,0,54,6,0,0,11,1,2,0
3.4,1,0,40,6,0,0,12,1,4,0
1.2,0,0,35,4,0,0,10,1,1,0
1.85,1,1,36,5,0,0,11,1,1,0
2.25,0,0,41,5,0,0,3,0,2,0
2.85,1,0,30,7,0,0,13,1,2,0
1.4,1,0,40,5,0,0,11,1,2,0
1.7,1,1,35,5,0,0,9,1,1,0
1.4,1,1,41,6,0,0,13,1,1,1
1.05,1,0,51,5,0,0,11,1,1,0
1.95,1,1,38,6,0,0,9,1,1,0
1,0,1,54,2,0,0,9,1,2,1
2.8,1,1,49,7,0,0,13,1,1,0
2,1,0,50,3,0,0,11,0,1,0
1.7,1,1,35,6,0,0,10,1,2,0
1.45,0,1,48,7,0,0,13,1,5,0
3.7,0,1,37,6,0,0,7,0,1,0
1.35,1,1,43,5,0,1,11,0,4,0
2.75,1,0,40,7,0,0,13,1,4,0
1.2,0,1,47,6,0,0,11,1,1,0
2.2,1,1,33,5,0,0,10,1,1,1
1.4,0,1,48,5,0,0,13,1,3,0
2.3,0,1,36,2,0,0,11,1,1,0
1.3,1,1,42,6,0,0,9,1,1,0
1.5,1,1,54,4,0,0,11,1,4,1
3.2,0,1,29,3,0,0,9,0,1,1
2,1,0,39,5,0,0,13,1,3,0
1.2,0,1,46,2,0,0,11,1,1,1
2.6,1,1,32,6,0,0,10,1,4,0
3.55,1,0,50,5,0,0,11,1,1,0
2.1,1,0,49,2,0,0,12,0,1,0
1.3,1,0,50,5,0,0,11,1,1,0
1.85,0,0,53,5,0,0,13,1,4,0
1.25,0,1,41,5,0,0,9,0,1,0
1.35,0,1,45,5,0,0,11,1,2,0
1.6,0,0,47,6,0,0,11,1,1,0
1.15,1,0,28,5,0,0,10,1,3,0
1.9,0,0,43,6,0,0,11,1,4,0
2.1,0,1,44,2,0,0,11,0,1,0
1.15,1,0,35,5,0,0,11,0,1,0
1.45,0,0,36,5,0,0,13,1,1,0
2.95,1,0,32,5,0,0,11,1,5,0
2.25,0,0,43,7,0,1,13,1,2,0
1.55,1,1,41,5,0,0,12,1,1,0
1.5,0,1,51,5,0,0,11,1,1,1
1.55,0,1,49,3,0,0,11,1,2,0
2.2,0,0,39,7,0,0,13,1,4,0
2.7,1,1,35,6,0,0,11,1,2,0
2.25,1,1,50,5,0,0,12,1,4,1
1.3,0,1,36,5,0,0,11,1,1,0
1.7,1,0,50,5,0,0,11,1,2,0
1.4,1,0,30,7,0,1,12,0,5,0
1.25,1,1,36,6,0,0,11,1,2,0
2.55,0,0,30,7,0,0,6,0,3,0
2,1,1,54,6,0,0,9,1,2,0
1.3,0,1,52,2,0,0,11,1,3,0
3.3,1,0,33,6,0,0,11,1,4,0
1.45,1,1,45,7,0,0,11,1,2,0
1.15,1,0,54,7,0,0,11,1,1,0
1.55,1,0,52,3,0,0,11,1,1,0
2.55,1,0,49,5,0,0,11,1,1,0
1.25,1,0,37,6,0,0,11,1,1,0
2.65,0,0,42,3,0,0,5,0,3,1
1.75,1,0,40,7,0,0,13,0,4,0
2.55,1,0,33,6,0,0,12,0,2,0
1.15,1,0,51,5,0,0,13,1,2,0
1.1,1,0,52,3,0,0,12,1,2,0
3.25,1,0,38,7,0,0,12,1,5,0
1.8,0,0,38,7,0,0,13,1,1,0
1.3,1,0,38,5,0,0,12,1,1,0
1.55,0,0,25,5,0,0,12,0,1,0
1.9,0,0,39,7,0,0,11,0,2,0
2,1,0,43,5,0,0,12,1,4,0
1.3,1,0,31,5,0,0,10,1,1,0
1.45,1,0,46,3,0,0,11,1,3,0
1.4,1,0,41,6,0,0,13,1,3,0
1.8,1,0,50,6,0,0,13,1,5,0
2.4,1,0,42,3,0,0,13,0,1,0
1.3,1,0,53,5,0,0,11,1,5,0
1.7,0,0,40,6,0,0,10,0,1,0
1,1,0,50,6,0,0,12,1,4,0
2.35,1,0,48,6,0,0,12,1,1,0
1.95,0,0,39,4,0,0,3,0,1,0
1.2,0,0,42,7,0,0,13,1,3,0
2.3,1,0,28,5,0,0,12,1,4,0
1.4,1,0,52,6,0,0,13,1,1,0
1.8,1,0,40,7,0,0,13,1,5,0
1.35,1,0,36,6,0,0,12,1,4,0
1.1,1,0,54,5,0,0,13,0,1,0
1.35,1,0,54,5,0,0,12,0,1,0
1.2,0,0,35,7,0,0,12,1,4,0
1.75,1,0,46,5,0,0,13,1,1,0
2.15,1,0,38,5,0,1,11,1,2,0
2.1,1,0,26,7,0,0,13,0,1,0
3.2,1,0,42,6,0,0,11,1,2,0
1.05,1,0,47,7,0,0,13,1,4,0
2.4,0,0,43,6,0,0,11,1,3,0
1.3,0,0,36,5,0,0,11,0,1,0
1.9,1,0,50,5,0,1,13,1,3,0
1.35,0,0,48,7,0,0,13,1,1,0
1.85,1,0,38,6,0,0,12,1,1,0
2.4,0,0,40,6,0,1,11,1,3,0
1.3,1,0,37,5,0,0,13,1,5,0
2.9,0,0,54,4,0,0,4,0,2,0
3.2,1,0,33,3,0,1,8,0,4,0
1.4,1,0,50,6,0,0,13,1,4,0
1.4,1,0,51,5,0,0,13,1,1,0
1.4,0,0,46,5,0,0,13,1,1,0
2.2,0,0,41,5,0,0,13,1,1,0
1.2,1,0,51,7,0,0,13,1,2,0
1.05,1,0,49,6,0,0,13,1,2,0
2.15,0,0,44,6,0,0,13,1,1,0
1.6,1,0,35,7,0,0,1,0,1,0
1.75,1,0,38,6,0,0,11,1,3,0
3.1,1,0,40,6,0,0,11,1,5,0
1.55,0,0,46,5,0,0,11,1,3,0
1.8,1,0,36,5,0,0,11,1,1,0
2.9,1,0,34,6,0,0,11,1,2,0
2.4,0,0,50,4,0,0,2,0,2,0
1.95,0,0,31,5,0,0,11,1,4,0
1.6,1,0,30,5,0,0,11,0,4,0
2.7,1,0,29,3,0,0,6,0,4,0
3.2,1,0,39,5,0,0,11,1,4,0
1.3,1,0,34,5,0,0,9,0,1,0
2.6,1,0,47,4,0,0,9,0,3,1
3.25,1,0,34,7,0,0,9,1,5,0
2.7,1,0,29,6,0,0,11,1,1,0
2.85,0,0,43,5,0,0,11,1,3,0
2.5,1,0,36,2,0,0,5,1,2,0
2.4,1,0,27,5,0,1,11,0,4,0
2.85,1,0,43,3,0,0,7,1,4,1
1.6,0,0,33,5,0,0,11,1,4,0
1.7,1,0,42,2,0,1,1,1,1,1
1.3,0,0,38,5,0,0,7,0,2,0
1.95,1,0,28,6,0,0,6,1,2,0
2.15,0,0,39,6,0,0,9,1,4,0
2.6,0,0,34,4,0,0,10,1,3,0
2.25,0,0,26,4,0,1,2,0,1,0
1.3,1,0,34,2,0,0,5,0,1,0
3.3,0,0,40,1,0,0,3,0,1,1
1.35,1,0,40,5,0,0,5,1,2,0
1.25,1,0,47,5,0,0,10,1,4,0
2.8,1,0,30,2,0,0,4,0,1,1
1.15,0,0,28,5,0,0,7,1,5,0
1.8,1,0,34,6,0,0,4,0,4,0
3.8,1,0,45,3,0,0,4,0,1,0
2.2,0,0,46,5,0,0,2,1,2,0
1.55,1,0,45,3,0,0,4,0,1,0
2.65,0,0,25,5,0,0,8,0,1,0
2.2,1,0,27,4,0,0,7,0,1,0
2.55,0,0,29,5,0,0,8,1,3,0
1.35,1,0,40,3,0,0,9,1,5,0
2.4,0,0,38,2,0,0,2,0,4,1
2.75,1,0,54,3,0,0,10,1,2,0
1.35,1,0,42,6,0,0,4,0,4,0
1.15,1,0,32,4,0,0,8,1,4,0
1.95,1,0,53,7,0,0,9,0,4,0
1.15,0,0,53,3,0,0,6,1,2,0
1.2,1,0,52,3,0,0,4,1,3,0
2.25,0,0,25,5,0,0,9,1,4,0
1.45,1,0,41,5,0,0,10,1,4,0
1.85,1,0,44,3,0,0,4,1,2,0
2.4,0,0,36,2,0,0,2,1,1,1
2.4,1,0,38,6,0,0,6,1,1,0
2.5,0,0,31,3,0,0,3,0,4,1
1.6,0,0,33,3,0,1,4,1,2,1
1.15,1,0,43,2,0,0,2,1,4,1
1.6,0,0,39,5,0,1,5,0,4,0
1.8,1,0,36,6,0,0,6,1,1,0
1.3,1,0,41,5,0,0,5,0,1,0
1.2,0,0,26,5,0,0,6,1,4,0
2.2,1,0,28,3,0,0,1,0,1,1
1,1,0,51,7,0,1,4,0,2,0
1.65,1,0,37,3,0,1,8,0,3,0
1.1,1,0,49,2,0,0,4,1,1,0
2.7,0,0,52,4,0,0,4,1,1,1
1.9,1,0,39,5,0,0,10,1,4,0
2.8,1,0,25,4,0,0,8,0,1,0
2.9,0,0,37,3,0,0,1,1,2,1
3.55,0,0,32,6,0,0,3,0,1,0
1.9,0,0,32,5,0,0,4,1,4,0
2.3,1,0,43,5,0,0,7,1,2,0
1.55,1,0,39,2,0,0,7,1,1,0
2,1,0,35,3,0,1,5,0,4,0
2.35,1,0,35,6,0,0,5,1,3,0
1.3,1,0,32,5,0,0,4,0,3,0
2.8,1,0,30,3,0,0,2,0,1,0
2.95,1,0,35,5,0,0,2,1,2,1
1.95,1,0,42,2,0,0,4,0,1,0
1.2,1,0,53,3,0,1,4,0,1,0
1.95,0,0,27,6,0,0,5,0,4,0
1.45,1,0,50,2,0,1,6,0,1,0
1.35,1,0,41,2,0,0,4,1,2,0
1.8,1,0,34,2,0,0,4,0,1,0
1.7,1,0,35,6,0,0,6,0,1,0
1.6,0,0,27,5,0,0,6,1,4,0
1.5,0,0,50,3,0,0,6,0,1,0
1.9,0,0,43,2,0,0,4,0,1,0
1.45,1,0,33,2,0,0,2,0,4,1
3.25,1,0,48,2,0,0,4,0,2,0
2.7,1,0,30,2,0,0,2,0,3,1
2.1,1,0,46,3,0,0,1,0,4,1
1.2,1,0,53,3,0,0,2,0,1,1
2.35,0,0,46,2,0,0,2,0,1,1
1.6,1,0,39,3,0,0,4,1,3,0
3,1,0,52,5,0,0,4,0,1,0
1.4,1,0,27,2,0,0,7,1,3,0
2.75,1,0,45,2,0,0,2,0,1,1
1.4,0,0,54,2,0,0,1,0,1,1
1.3,0,0,32,2,0,1,3,0,1,0
2.05,1,0,36,2,0,1,2,0,1,1
1.05,1,0,46,2,0,0,4,0,2,1
1.1,0,0,40,3,0,0,2,0,4,0
1.3,0,0,41,2,0,0,5,0,1,0
1.95,0,0,36,4,0,0,4,1,1,1
1.1,0,0,49,3,0,0,4,0,2,0
2.5,0,0,39,1,0,0,1,0,1,1
2.7,0,0,42,2,0,0,1,0,1,1
1.9,1,0,35,5,0,0,4,0,4,0
1.95,1,0,36,3,0,0,4,0,1,1
1.95,0,0,45,4,0,0,2,0,4,1
2,0,0,52,2,0,0,5,0,1,0
1.45,0,0,46,4,0,0,2,0,5,1
2.6,0,0,45,2,0,0,1,1,1,1
2.15,0,0,31,4,0,0,4,0,1,0
2.85,0,0,45,1,0,0,1,0,1,1
1.7,1,0,50,3,0,0,3,0,2,0
2.2,0,0,46,3,0,0,4,0,1,0
3.05,1,0,52,6,0,0,3,0,1,1
2.55,0,0,28,2,0,0,3,0,2,1
3.15,1,0,29,5,0,0,2,0,1,1
2.2,0,0,49,4,0,0,1,0,4,1
2.9,0,0,51,4,0,0,2,1,2,1
1.2,1,0,54,2,0,0,4,1,1,0
1.05,1,0,53,2,0,0,5,0,1,0
1.25,0,0,45,2,0,0,2,0,1,0
2.4,0,0,49,2,0,0,4,1,1,1
1.85,0,0,48,3,0,0,4,0,4,1
2.05,1,0,50,2,0,0,1,0,5,0
2.45,0,0,52,2,0,0,4,0,1,0
2.4,1,0,30,5,0,0,2,0,1,1
